,ageRange,gender,isLGBT+,continent,gmtOffset,education,isStudent,employmentStatus,weeklyConsFreq,sociallyAnxious,consumptionSources,platform,isPayer,prefersSubs,visQuality,storyQuality,characterRelatability,firstFavGenre,secondFavGenre,vTuberSub,consumesHMat,socInc,wantsMoreSeinen
389,1.0,Man,1.0,Asia,5.5,BA/BS,1.0,Unemployed,6.0,1.0,Anime;Manga;Doujinshi;Light Novels,OTHER,0.0,1.0,8.0,9.0,8.0,Comedy/SoL,Action,1.0,1.0,Maybe,1.0
390,1.0,Man,0.0,Asia,-8.0,HS,1.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,OTHER,0.0,1.0,7.0,8.0,5.0,Comedy/SoL,Action,1.0,1.0,Yes,1.0
391,1.0,Man,0.0,North America,-7.0,HS,1.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi,AFSS,1.0,0.0,6.0,8.0,6.0,Action,Comedy/SoL,1.0,1.0,No,0.0
393,0.0,Man,0.0,South America,-3.0,HSDropout,0.0,Unemployed,6.0,0.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,AFSS,0.0,1.0,6.0,9.0,8.0,Rom/Dram,Comedy/SoL,0.0,1.0,Yes,1.0
394,1.0,Woman,0.0,North America,-8.0,BA/BS,0.0,FullTimer,7.0,1.0,Anime;Manga;Doujinshi;Light Novels,AFSS,0.0,1.0,8.0,9.0,6.0,Rom/Dram,Comedy/SoL,0.0,1.0,Yes,1.0
395,1.0,Man,0.0,Europe,0.0,MS,1.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi;Light Novels,AFSS,1.0,1.0,6.0,10.0,3.0,Rom/Dram,Comedy/SoL,0.0,1.0,Maybe,1.0
396,1.0,Man,0.0,North America,-8.0,AA/AS,1.0,Unemployed,5.0,0.0,Anime;Manga,AFSS,0.0,1.0,10.0,5.0,1.0,Comedy/SoL,Psycho,1.0,1.0,No,1.0
397,2.0,Man,0.0,North America,-8.0,AA/AS,1.0,PartTimer,3.0,1.0,Anime,AFSS,1.0,1.0,5.0,6.0,0.0,Comedy/SoL,Action,1.0,1.0,No,0.0
398,2.0,Man,0.0,Asia,8.0,BA/BS,0.0,Unemployed,4.0,1.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,OTHER,0.0,1.0,7.0,6.0,5.0,Comedy/SoL,Fantasy,1.0,1.0,No,0.0
399,1.0,Man,0.0,North America,-5.0,HS,1.0,Unemployed,7.0,0.0,Manga,OTHER,0.0,1.0,6.0,9.0,3.0,Action,Rom/Dram,0.0,1.0,No,1.0
400,1.0,Man,0.0,North America,-8.0,BA/BS,0.0,Unemployed,5.0,0.0,Manga;Doujinshi,N/A,0.0,1.0,5.0,8.0,5.0,Rom/Dram,Comedy/SoL,1.0,1.0,Yes,1.0
401,0.0,Man,0.0,Asia,5.5,HSDropout,1.0,Unemployed,6.0,1.0,Manga;Doujinshi,N/A,0.0,1.0,8.0,7.0,9.0,Action,Rom/Dram,0.0,1.0,Yes,0.0
403,1.0,Man,0.0,North America,-8.0,BA/BS,0.0,FullTimer,7.0,0.0,Anime;Manga;Light Novels,AFSS,1.0,1.0,8.0,10.0,9.0,Comedy/SoL,Action,0.0,0.0,No,1.0
